scenario,t,qber_mean,qber_q05,qber_q50,qber_q95,margin_mean,margin_q05,margin_q50,margin_q95,psi_mean,psi_q05,psi_q50,psi_q95,p_secure,p_transition,p_insecure
elevated_pressure,3.0,0.1371723006703751,0.13086756525459992,0.13740907145913567,0.14340500641848525,-0.20730573896615428,-0.2400658408831771,-0.20871735111608333,-0.17351650196395557,-1.8845976269650389,-2.18241673530161,-1.8974304646916667,-1.5774227451268688,0.0,0.0,1.0
elevated_pressure,4.0,0.13756454143488803,0.13222079589216945,0.1376765083440308,0.14341570389388103,-0.20938035212171577,-0.24012074069167172,-0.2101340379429318,-0.1808862791099218,-1.9034577465610525,-2.1829158244697426,-1.9103094358448347,-1.6444207191811073,0.0,0.0,1.0
elevated_pressure,5.0,0.13809442304949365,0.13178219940094138,0.13837184424475824,0.14412708600770216,-0.21217116082195522,-0.24378235668457385,-0.21380917049509782,-0.178502681085587,-1.9288287347450475,-2.216203242587035,-1.9437197317736166,-1.6227516462326093,0.0,0.0,1.0
elevated_pressure,6.0,0.13844601340750248,0.1331247325631151,0.13810440735986307,0.14442661531878476,-0.21405301745342623,-0.24532198203516772,-0.2123969280269625,-0.1857832427020197,-1.945936522303875,-2.2301998366833433,-1.9308811638814771,-1.688938570018361,0.0,0.0,1.0
elevated_pressure,7.0,0.1387163029525032,0.13210312366281557,0.1386392811296534,0.14502032520325203,-0.21543956026146485,-0.24836528502365512,-0.21521961256987118,-0.18024714837379707,-1.9585414569224076,-2.2578662274877734,-1.9565419324533744,-1.6386104397617915,0.0,0.0,1.0
elevated_pressure,8.0,0.1394294679788903,0.1334456568249893,0.13949507916131793,0.14571031236628154,-0.21920040616451197,-0.25189214868974624,-0.21972131714657714,-0.1875169020516489,-1.9927309651319274,-2.2899286244522385,-1.9974665195143375,-1.7046991095604445,0.0,0.0,1.0
elevated_pressure,9.0,0.1393474540008558,0.13402866923406076,0.1389602053915276,0.14575845100556267,-0.2188018354310798,-0.25213788358494144,-0.2169098206335814,-0.19065970630503215,-1.9891075948279984,-2.2921625780449224,-1.9719074603052855,-1.733270057318474,0.0,0.0,1.0
elevated_pressure,10.0,0.13993724147767794,0.1339484381685922,0.1399229781771502,0.1455926401369277,-0.22186031645676016,-0.2512916092922458,-0.22196542470846856,-0.19022611304464274,-2.0169119677887286,-2.2844691753840527,-2.017867497349714,-1.729328300405843,0.0,0.0,1.0
elevated_pressure,11.0,0.1403587220082727,0.13499144201968336,0.14067180145485667,0.146293324775353,-0.22409545876312786,-0.2548635672122376,-0.22588243358825486,-0.1958313490679239,-2.0372314433011622,-2.3169415201112504,-2.053476668984135,-1.7802849915265808,0.0,0.0,1.0
elevated_pressure,12.0,0.14086364284695477,0.1350502781343603,0.14067180145485667,0.14667308515190414,-0.22672376591864568,-0.25679469111333325,-0.22588243358825486,-0.19614675479801733,-2.0611251447149606,-2.334497191939393,-2.053476668984135,-1.7831523163456122,0.0,0.0,1.0
elevated_pressure,13.0,0.1411945514191984,0.13536050492083868,0.14115318784766795,0.1474112109542148,-0.22844934242359632,-0.26053895919508496,-0.22839331696656404,-0.19780755708687026,-2.0768122038508756,-2.3685359926825904,-2.076302881514218,-1.7982505189715479,0.0,0.0,1.0
elevated_pressure,14.0,0.14125445728141492,0.1365265297389816,0.14131364997860504,0.14591356439880188,-0.22880361949069244,-0.2529290462599526,-0.22922909704088554,-0.2040291991340864,-2.08003290446084,-2.2993549659995693,-2.0839008821898686,-1.8548109012189673,0.0,0.0,1.0
elevated_pressure,15.0,0.14160818713450293,0.13531236628155754,0.14190201112537443,0.14714912280701753,-0.23061350857648213,-0.2592109213641374,-0.23228823148851593,-0.1975501332048412,-2.096486441604383,-2.3564629214921586,-2.1117111953501446,-1.7959103018621927,0.0,0.0,1.0
elevated_pressure,16.0,0.14156111824276138,0.13575096277278562,0.1413671373555841,0.1468977321352161,-0.23037256162088007,-0.2579351473065299,-0.22950750896195624,-0.19989517094802908,-2.094296014735274,-2.3448649755139077,-2.0864318996541478,-1.8172288268002643,0.0,0.0,1.0
elevated_pressure,17.0,0.14256882042504634,0.13682071031236628,0.1425438596491228,0.147897946084724,-0.23560910272313138,-0.26300104017318926,-0.2356161517624231,-0.2055946187884928,-2.141900933846649,-2.390918547028993,-2.141965016022028,-1.8690419889862981,0.0,0.0,1.0
elevated_pressure,18.0,0.14236414206247325,0.13609863072314934,0.14232991014120666,0.14859863072314933,-0.2345081320765318,-0.2665357836069288,-0.23450792741649337,-0.2017497007865251,-2.131892109786653,-2.4230525782448074,-2.1318902492408487,-1.83408818896841,0.0,0.0,1.0
elevated_pressure,19.0,0.1433076593923834,0.13756953359007273,0.14323919554985023,0.14883397518185706,-0.2394344386918812,-0.26771951189138565,-0.2392104585790443,-0.20956758589249777,-2.1766767153807383,-2.4338137444671424,-2.1746405325367664,-1.9051598717499798,0.0,0.0,1.0
elevated_pressure,20.0,0.14282270717444015,0.13686884895164741,0.14281129653401797,0.14913350449293966,-0.2368950121505269,-0.2692265969721098,-0.23699994646885023,-0.2058504005963939,-2.153591019550244,-2.447514517928271,-2.1545449678986386,-1.8713672781490354,0.0,0.0,1.0
elevated_pressure,21.0,0.1433846812152332,0.1378209242618742,0.14323919554985023,0.1490265297389816,-0.23982517143220497,-0.26868895534402815,-0.2392104585790443,-0.2108979976050608,-2.1802288312018634,-2.442626866763892,-2.1746405325367664,-1.917254523682371,0.0,0.0,1.0
