replicate,mean_boundary,w_a,w_d,r_a,r_d,kappa,w_M
162,0.06581657049159328,0.059143624891151186,0.8260393534515726,0.16610458605397632,1.0613557278226633,2.6580752587746264,1.27168246956277
163,0.06516082223601637,0.05901301368994395,0.8644600460943118,0.19483298896680537,1.1662744739656628,2.647304714019022,1.2947232670008606
164,0.06460070051423729,0.058789022076124346,0.9130062358481827,0.17388220169524787,1.1265101374083901,2.433064189858401,1.3670615763818414
165,0.06736373314386446,0.050376813664400825,0.8501636506634269,0.18484103393798765,1.136655818829945,2.4641955781768754,1.4036171464256906
166,0.06598751906530888,0.05286122821822144,0.9070150378035214,0.16443772877342294,1.0842334115853967,2.4681405141830566,1.3641892586539288
167,0.0650447679867326,0.0603902934915458,0.8715665326180967,0.17666257633895305,1.1376976707396456,2.5429663080400884,1.2454902933608323
168,0.06560865271645848,0.05820338208794142,0.8361761235222331,0.16626137169239488,1.1792273177407866,2.7475656461775246,1.3118520813533634
169,0.0646171087926965,0.05668360387216324,0.9562606292464785,0.1731763048123885,1.106980849257316,2.4179466770345233,1.2818987510604711
170,0.06727679167722762,0.05291271328857325,0.8188529841133433,0.16406485987001443,1.0517232342253562,2.719198333662034,1.2558066998067676
171,0.06703630199204488,0.050646966362487424,0.8375708673188316,0.17738557737743732,1.1940132607269973,2.669732485696718,1.4560774617340215
172,0.06396455851892545,0.05653401954804219,0.9537315991531564,0.17418363989050062,1.1044848831280383,2.715252045356922,1.374440682094741
173,0.06538369784068054,0.05220496355043747,0.9468058255153102,0.18846431418350867,1.0443759311923537,2.4278678633804613,1.426496523239493
174,0.06759244543633347,0.051419348184304284,0.8423940341451278,0.16249415786481952,1.0776028244008466,2.3923025725580804,1.323540070639101
