t,eta,attack,drift,shots,n_eff,qber_mean,qber_obs,secrecy_margin,leakage_burden,psi,dpsi_dt,dqber_dt,phase,scenario,repeat
111.0,0.075,0.16,0.015,10000,9547,0.1039037880939997,0.1035927516497329,-0.007423639114331696,0.1951945637372997,-0.06748762831210633,-0.03589267448265205,0.000628469676338117,insecure,transition_margin,65
112.0,0.075,0.16,0.015,10000,9547,0.10427134484742755,0.10244055724311302,-0.0002288509534127993,0.1943304179323348,-0.0020804632128436297,-0.08240362498765666,0.0014664292447889374,transition,transition_margin,65
113.0,0.075,0.16,0.015,10000,9547,0.10464559062205592,0.10652561013931078,-0.025552436611616162,0.19739420760448312,-0.23229487828741965,-0.07405538369430575,0.0013093118257044081,insecure,transition_margin,65
114.0,0.075,0.16,0.015,10000,9547,0.10502572996652342,0.10505918089452183,-0.016521035366160067,0.1962943856708914,-0.15019123060145514,-0.09847057765024177,0.0017806640829579959,insecure,transition_margin,65
115.0,0.075,0.16,0.015,10000,9547,0.10541095127560335,0.11008693830522677,-0.04721596369466935,0.20006520372892012,-0.4292360335879032,-0.026424663079742783,0.00047135225725358776,insecure,transition_margin,65
116.0,0.075,0.16,0.015,10000,9547,0.10580042901475731,0.10600188540902901,-0.022334461243703477,0.1970014140567718,-0.2030405567609407,-0.05996865998295631,0.0010998219335917048,insecure,transition_margin,65
117.0,0.075,0.16,0.015,10000,9547,0.10619332598286786,0.11228658217241018,-0.06040906889091974,0.20171493662930767,-0.5491733535538158,0.07667695010398515,-0.0013616842987325822,insecure,transition_margin,65
118.0,0.075,0.16,0.015,10000,9547,0.1065887956069487,0.10327851681156384,-0.005465532220826744,0.19495888760867292,-0.0496866565529704,0.07434196483024197,-0.0013616842987325822,insecure,transition_margin,65
119.0,0.075,0.16,0.015,10000,9547,0.10698598426254233,0.10956321357494501,-0.04405383662826651,0.1996724101812088,-0.40048942389333186,-0.3508027673403615,0.00628469676338117,insecure,transition_margin,65
0.0,0.075,0.16,0.015,10000,9547,0.0973,0.09311825704409762,0.0595535315963938,0.18733869278307325,0.5413957417853982,-0.4054874318938704,0.006913166439719287,secure,transition_margin,66
1.0,0.075,0.16,0.015,10000,9547,0.09769804935090304,0.10003142348381691,0.014949914088068058,0.1925235676128627,0.1359083098915278,-0.22683675689744864,0.0038755630040850503,secure,transition_margin,66
2.0,0.075,0.16,0.015,10000,9547,0.09809523800649667,0.10086938305226772,0.009649445078955095,0.19315203728920083,0.08772222799050086,0.09126631810004729,-0.0015711741908452925,secure,transition_margin,66
3.0,0.075,0.16,0.015,10000,9547,0.09849070763057752,0.09688907510212633,0.03502850407007846,0.19016680632659477,0.3184409460916224,0.13071316724014448,-0.0022520163402115836,secure,transition_margin,66
4.0,0.075,0.16,0.015,10000,9547,0.09888360459868807,0.09636535037184456,0.038406341871786875,0.18977401277888345,0.3491485624707898,-0.22253205989570513,0.0038755630040850503,secure,transition_margin,66
5.0,0.075,0.16,0.015,10000,9547,0.09927308233784202,0.10464020111029643,-0.013928549106976666,0.19598015083272236,-0.12662317369978787,0.02156478072118931,-0.0003666073111972326,insecure,transition_margin,66
6.0,0.075,0.16,0.015,10000,9547,0.09965830364692195,0.09563213574945009,0.04315059363044853,0.1892241018120876,0.3922781239131684,0.023641865645789906,-0.00041897978422541365,secure,transition_margin,66
7.0,0.075,0.16,0.015,10000,9547,0.10003844299138945,0.1038022415418456,-0.008727338664902887,0.19535168115638424,-0.07933944240820806,-0.17926128044301445,0.003089975908662404,insecure,transition_margin,66
8.0,0.075,0.16,0.015,10000,9547,0.10041268876601783,0.1018120875667749,0.0037131119329853433,0.1938590656750812,0.03375556302713949,0.03862948959768221,-0.0006808421493662911,secure,transition_margin,66
9.0,0.075,0.16,0.015,10000,9547,0.10078024551944569,0.10244055724311302,-0.0002288509534127993,0.1943304179323348,-0.0020804632128436297,0.13927686974085743,-0.002409133759296113,transition,transition_margin,66
10.0,0.075,0.16,0.015,10000,9547,0.10114033613445378,0.09699382004818267,0.03435402327597398,0.19024536503613704,0.31230930250885436,-0.09755006457572485,0.0017282916099298218,secure,transition_margin,66
11.0,0.075,0.16,0.015,10000,9547,0.10149220395798932,0.10589714046297266,-0.021689865160072267,0.19692285534722953,-0.19718059236429333,-0.22536131863326492,0.003927935477113231,insecure,transition_margin,66
12.0,0.075,0.16,0.015,10000,9547,0.10183511487509937,0.10484969100240914,-0.015225466823344306,0.19613726825180688,-0.1384133347576755,0.09158992866868841,-0.0016235466638734666,insecure,transition_margin,66
13.0,0.075,0.16,0.015,10000,9547,0.10216835932108895,0.10265004713522573,-0.0015400808529608158,0.19448753535141933,-0.014000735026916507,0.04436333910235255,-0.0007855870954226463,transition,transition_margin,66
14.0,0.075,0.16,0.015,10000,9547,0.10249125422638844,0.10327851681156384,-0.005465532220826744,0.19495888760867292,-0.0496866565529704,-0.07691719463590545,0.0013616842987325822,insecure,transition_margin,66
15.0,0.075,0.16,0.015,10000,9547,0.10280314488879995,0.10537341573269089,-0.018461863672860016,0.1965300617995182,-0.1678351242987274,0.15653041744943427,-0.0027233685974651714,insecure,transition_margin,66
